"good length ball, on off stump, gets right behind it and defends to cover"
"full ball, just outside off, keeps bit low, drives and misses"
"full ball, on middle stump, pushes to mid-on for a single"
"good length ball, outside off, angles it down to third man"
""
"good length ball, on leg stump, turned to leg side"
"short in length, outside off, cuts it to backward point"
"on middle and leg stump, turned to midwicket"
"Dropped! short ball, outside off, Williams lap it in the air and Musa at third man dropped a simple catch"
"good length ball, on off stump, pushes to off side"
"full on target, defended back to bowler"
"full ball, outside off, pushes to off side"
"full ball on off stump, pushes to mid-off for a single"
"good length ball, on off stump, goes back and defends it back to bowler"
"Full ball, outside off, leans well forward and drives in the air just wide of short cover fielder for four"
"full ball, yorker length, on leg stump, turned to square leg"
"again back of length, punches to point"
"full ball,  outside off, driven to deep cover"
"short ball, pulls it hard and Khushdil puts it down at short midwicket"
"short in length, again goes for the pull and connected it well in the gap to deep midwicket fence for four"
"full ball, on middle and leg stump, turned to midwicket for a single"
"good length ball, outside off, angles it to third man"
"full ball, on off stump, pushed to point"
"short ball, outside off, sways away and lets it go"
"full ball, outside off, slices it to point, Imam fumbles given away a single"
"low full toss on leg stump, driven down the ground to long-on"
"good length ball, on off stump, pushes to cover for a single"
"full ball, on off stump, drives in the air back to bowler"
"low full toss on leg stump, flicked away down to fine leg for couple of runs"
"short ball, on leg stump, flicked away to fine leg"
"full ball, on middle stump, flicks it away down to fine leg for a single"
"good length ball, outside off, angles it down to third man"
"full ball, swinging in and drifts back into the left hander, flicks it away down to fine leg fence for four"
"high full toss, pulls it away to fine leg for a single and it given noball by the leg umpire"
"short in length, outside off, cuts and misses"
"good length ball, on leg stump, flicked away to long leg for couple"
"good length ball, outside off, driven to deep cover"
"Great shot! full ball, outside off, comes well forward and drives on the up and in the gap to extra cover for four"
"That was even better! Full ball, outside off, drives again and times it even better through extra cover"
"full ball, on off stump, pushes to cover for a quick single"
"Shot! Full ball, on middle and leg sump, Williams picks it away off his toes over midwicket fence for four"
"full and wide outside off, goes for the drive and misses it"
"good length ball, ou tside off, angles it down to third man"
full and angling down the leg side through to keeper who fails to collect it neatly
"good yorker on middle stump, defends to leg side"
"again full ball, on off stump, gets right behind it and defends back to bowler"
"again good yorker on target, Williams defends it back to bowler"
"full ball, on off stump, pushes to mid-off"
"low full toss on middle and leg stump, turned away to deep midwicket"
""
"short in length, outside off, punches to point"
"good length ball, just outside off, drives to short cover"
"full ball, on leg stump, tries to play across the line, gets the inner edge misses the stumps and beats the diving keeper for four"
"Length ball, on off stump, this time Raza goes big and down the ground just the clear the long-on fence and fielder for a six"
"short ball, sways away and lets it go"
