"down the track, gets to the pitch of the ball and drives it to long-on"
"too short, outside off and spinning away, he slaps it with power, but the man at point dives to his left to save runs"
"length ball, comes forward to defend"
"too full, but the drift carries to the pads, he gets his bat in front and shows the full face, driving to mid-on"
another trouble-free forward defense
"<b>shot</b> tossed up on off, and he comes nonchalantly forward and drives it through cover and to the fence"
"<b>cleaned him up</b> The third wicket to fall off a bad shot. Went for a pull, but this was too full and it was the googly. Completely missed it, but the ball doesn't miss the stumps. Wicket out of nowhere almost, which has been the case for all three batsmen to fall today. West Indies might feel a spark of hope again now"
"appreciable turn into the left-hander. Pitched on a good length, and turned past his bat to hit him on pad"
"big turn again, Shakib stays in his crease and defends"
"similar ball, defended from deep inside the crease"
"too full, and Shakib drives it down to long-on to get off the mark"
"flatter, slider. Zoots through but Shadman is quick to bring his bat down and block it"
"back of a length, moving away from the batsman and squares him up. but Shakib able to open his bat face and steer it away"
"went with the angle that time, from around the wicket. Same spot, back of a length, but ends up on the pads and he can clip it to fine leg"
"good length outside off, defended to cover"
"back of a length, coming into the batsman, who defends from the crease"
"length ball on the stumps, tapped to mid-on with an angled bat"
"back of a length outside off, that kept a bit low, but the line meant he was in position to punch it through cover. He adjusted well to bend lower and execute the shot"
stays back to this fuller one and is almost caught on the crease. Manages to get his bat down to keep it out
"length ball on middle and off, spinning away. Allows Shakib to tuck it to fine leg"
"flighted and fuller, turning into Shakib, who continues to stay back. Goes deep in his crease to punch to mid-on"
"googly, but too short and wide outside off, he hangs on his back foot and he's able to slash it away for four. He's also overstepped so no-ball"
""
"<b>trapped in front! no debut century for Shadman</b>  bowled from round the wicket, and he plays down the wrong line, he thought it would turn more. It sneaks past his outside edge, holds its line and hits pad. It would have gone on to hit the stumps. End of a very good innings on debut."
""
turned into the leg side
""
"back of a length outside off, seemed to hold up on the pitch. Shakib waited and steered it to gully"
"back of a length, not rising above the pads. Angling into him and he tucks it to mid-on"
"bouncer outside off, but Shakib is able to get on top of it and slap it to deep point"
"back of a length, angling into the right-hander from over the wicket. Defended from the crease"
"full ball outside off, Shakib opens the face and steers it to third man. Executed with finesse"
<strong>big turn</strong> pitched on a length outside off and ends up on his pads
<b>nails the sweep</b> full enough to execute and he goes down immediately and swats it hard to deep midwicket
"on a length outside off and spinning into him considerably, he waits for it and taps it towards point"
