"Slightly short in length, Abid picks up the length and pulls it away over backward square leg for four"
"full ball, on middle and leg stump, pushes to mid-on"
"full ball, on leg stump, comes down the wicket to play a big shot, inside edge onto pad"
"back of length, punches to wide of mid-off for a quick single"
"full ball, on off stump, drives straight and hits the stumps at bowling end"
"good length ball, outside off, angles it to gully for a single"
"Short and wide outside off, Imam cuts it away to backward point fence for four"
"another short ball, Imam just angles that one and this time third man fielder fumbles and cost four more"
"full and wide outside off, left alone"
"short in length, on leg stump, tucked away to long leg for couple"
"short and wide outside off, cuts and good diving stop by Raza"
"good length ball, outside off, cuts to cover and runs a risky single, fielder missed the stumps at bowling end Imam was no way near the crease and one run extra for the over throw"
full and wide way down the leg side and no chance for the keeper to stop that one
"full ball, on leg stump, off the pad through to keeper"
full ball well down the leg side for a wide
"Shot! Fuller in ength, on off stump, comes well forward and drives to extra cover fence for four"
"full ball, on off stump, drives to mid-off"
"good length ball, on off stump, pushes to point for a single"
"short and wide outside off, goes for the cut and misses it, keeper also misses that one and cost four byes"
"good length ball, on off stump, pushes to cover"
"Short and wide outside off, Abid hits it very hard and Ervine at short cover takes a very sharp catch"
"short in length, outside off, cuts to deep cover"
"tossed up, on leg stump, tried to play on the leg side, closed his bt bit early, leading edge along the ground back to bowler"
"short in length, on leg stump, turned away to leg side"
"arm ball, on off stump, pushes to deep cover for a single"
"on middle and leg stump, worked away to deep square leg"
"full ball, on leg stump, pushes back to bowler"
"on middle and leg stump, turned to long leg for a single"
"good length ball, on target, gets right behind it and defends it back to bowler"
"Shot! Fuller in length, on middle and leg stump, flicks it away off his toes to deep square leg fence for four"
"That was even better! Full ball, on middle and leg stump, Babar played a lovely on drive between mid-on and midwicket for four"
"again on leg stump, flicked away to deep square leg"
"short and wide outside off, cuts to deep cover"
"short ball, punches to cover"
"tossed up on leg stump, turned to square leg"
"tossed up, on off stump, driven to long-off"
"on leg stump, hits the pad and missing leg, shout for lbw, turned down by umpire"
"short in length, on leg stump, turned to deep square leg"
"tossed up, down the leg side for a wide"
"on leg stump, flicked away to short fine leg for couple of runs"
"short and wide outside off, drives to extra cover for couple of runs"
"tossed up, on off stump, pushed to cover"
"on middle and leg stump, worked away to leg side for couple of runs"
"tossed up, on off stump, pushed to off side"
"arm ball, on target, defended on the front foot"
"tossed up, on off stump, came forward and defended"
"tossed up, outside off, driven to deep cover"
"tossed up, on off stump, pushed back to bowler"
"short in length, outside off, cuts it late down to third man for three runs"
"tossed up, on off stump, defended on the front foot"
"tossed up, outside off, driven to wide of long-off and came back for the 2nd run"
"arm ball, on middle stump, defended back to bowler"
"on middle and leg stump, worked away to square leg"
"arm ball, on off stump, goes back and pushes to point"
"short in length, outside off, cuts it to point"
"on middle and leg stump, drives down the ground to long-on for a single"
"faster ball, drives back to bowler, Madhevere dives across and stops the ball"
"tossed up, came down the wicket and turned to midwicket"
"tossed up, on leg stump, tried to flick it away, looked like off the pad to keeper, big shout for caught behind, turned down, review has been taken, replay shows that it was a slight edge on the way to keeper, umpire has to reversed his decision"
"arm ball, on off stump, cuts it late and it goes through the hands of slip"
"arm ball, on off stump, tries to defend, inside edge onto pad"
"short in length, outside off, punches to cover"
"tossed up, outside off, driven to point"
"tossed up, on off stump, defended on the front foot"
"tossed up, outside off, driven to deep cover"
"short in length, just outside off, cuts to deep point for couple of runs"
"again short in length, outside off, tries to cut, mistimes to off side"
"Dropped! short in length, outside off, goes for the cut, edges it and Taylor juggles with it and dropped at the end"
"short in length, outside off, cuts to off side"
"Shot! Tossed up, on middle and leg stump, lofted drive well over mid-on for four"
"tossed up, on off stump, driven to long-off"
"tossed up, on off stump, pushed to cover"
"again tossed up, driven to short cover"
"arm ball, on off stump, pushed back to bowler"
"bit slower in the air, short in length, Babar punches to lojng-on"
""
"on middle and leg stump, pushed to leg side"
"Shot! Tossed up, on middle stump, cleared his left leg and hit it straight up and over long-on fence for a six"
"tossed up, on off stump, driven down the ground to long-off"
"nicely tossed up, driven to deep cover for a single"
"tossed up, on middle stump, pushed back to bowler"
"short in length, on leg stump, punches to long-on"
"arm ball, on off stump, pushes back to bowler"
"again tossed up, bit slower in the air, Haider defended on the front foot"
"What a shot! Short and fast on leg stump, Haider down on one knee and pulls it away over backward square leg for a six"
"arm ball, on leg stump, flicks it away down to fine leg for couple of runs"
"on middle and leg stump, swept away to deep midwicket for couple more"
"tossed up, on middle and leg stump, came down the wicket and chipped it over midwicket for three runs"
"arm ball, just outside off, angles it to gully"
"short in length, outside off, cuts away to deep point"
"arm ball, on off stump, driven back to bowler"
"arm ball, on middle and leg, defended on the front foot"
"arm ball, on middle stump, tries to play a sweep shot, looks like ball clips the gloves and hits the pad, shout for lbw and up goes the finger of umpire, review has been taken and it shows that no bat or gloves invloved and ball hitting middle"
"full ball, on off stump, pushes to cover"
"good lengtb ball, off stump, gets right behind it and defends to point"
"full ball, on middle stump, driven to mid-on"
