"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"length ball outside off, and this has been punched through the covers to the fielder in the deep"
"full on off, and this flighted delivery is defended with soft hands to see the over out"
"good length on middle, and that's been dabbed away to the third-man fielder for a single"
"good length on off, and Tiripano defends off the back foot"
"full on middle, and that's been confidently driven straight down the ground. Mid off and mid on congregate, and Shoaib Malik eventually cuts it off"
"length ball on middle, but the around-the-wicket angle takes the ball down leg side"
"full on off, and his cover drive takes the bat's inside edge! Flies towards the leg side instead, and midwicket comes swooping in"
"full on off, and this has been tucked away to deep midwicket off the front foot"
"full on off, and driven down the ground. Offers the bat's full face, but can't beat the fielder at mid on"
"full outside off, and the wrong'un is driven to long off"
"full on off, and the legspinner is defended to cover point"
"more air this time, but the full-pitched delivery is driven to cover off the front foot"
"flighted outside off, and muscled away to Faheem at cover"
"flatter, and lands outside off. Spins further away, and Tiripano plays a late cut to short third man"
"length ball outside off, and the legspin is cut away past the fielder at point. Work for the man in the deep as Zimbabwe jog back for two"
good length on middle and Moor defends off the back foot with soft hands
"back of a length on off, but cramping into Moor's body. Defended again"
yorker on middle and leg. Moor gets his toes out of the way and squeezes an ugly shot away to midwicket
"good length on off, and tapped away - with soft hands - to short cover. Nobody's there, and off they go for a single"
"short on off, and he goes for the pull behind square. <b>Top-edges it</b> over Sarfraz's head, but the ball lands safe. Fine leg runs forward and cleans up"
"length ball on off that angles in. Moor misses the steer down to third man, and the ball hits his pad after an inside edge"
"length ball outside off, and that's been cut away off the back foot. Goes between gully and point, and the infielders go chasing after it. Hasan Ali manages to pull it in"
"tossed up outside off, and once again, driven down the ground to long off for one"
"full just outside off, and driven with the turn to wide long off"
"full, but wide outside off. Tiripano winds up, and thumps a cover drive through extra. Long off tries to intercept, but he scoops the ball into the boundary while attempting to field"
"good length outside off, and driven to point off the front foot"
"full on off, and Shadab ends the over with the wrong'un. Comes into Tiripano, but he manages to defend it away"
"good length on middle, but raps him on the thigh pad as he misses the flick. The ball trickles away to square leg, and the batsmen pick up a run"
"<b>a pace bowler's dream ball!</b> Yorker on middle, and the delivery uproots the middle stump. Tiripano backed away to try and make some room, but the ball went under his bat and sent him back for 13"
"<b>on a hat-trick!</b> Targets the stumps to the new batsman, and he's been trapped in front of middle. Full on off but with the ball angling in, and Roche can't connect with the back-foot defense. Played down the wrong line, and impact is in front of all three stumps. Out for a golden duck"
"full on leg, and that's been clipped off his pads to fine leg! Almost looked like pad first, but the umpire signals runs"
"good length outside off, and goes through his defenses! Lucky for him that the ball was outside the stump-line, and goes straight into Sarfraz's gloves"
"full outside off, and driven square off the front foot. Finds cover point though"
"short and wide, but Masakadza can't cut it away. Through his shot too early, and all he can do is under-cut it to the keeper"
"a yorker that's tailing in, but Masakadza whips this off his toes, and sends the ball racing away to the square-leg boundary! Classy shot"
"good length outside off, and he mistimes a cut shot to point. Calls very early for the single"
"good length on leg stump, and he clips it away to backward square leg for a single. Shoaib Malik the fielder in the deep"
"full on off, but the inswinging delivery is defended away to mid on"
"length ball outside off, and that's been pushed with the angled bat to third man"
"full on middle, and that's been defended to cover for a quick run"
"good length on off, and Moor picks this up from outside off, and pulls it over midwicket. Not muscled hard enough, and all he can collect is a double"
"full on leg stump, and Moor <b>lifts it over long on!</b> Backs away to the leg side, offers his bat's full face, and scoops it over the non-striker for six"
"length ball on off, and Moor backs away to make some room. Punches to cover thereafter"
"good length outside off, and that's been turned around the corner to midwicket"
"length ball on off, but the angles coming into Moor, and he has no trouble in working it to fine leg. <b>Usman finishes with 4 for 36</b>. A gun spell"
"slower ball, on a length outside leg. Moor taps it to the leg side and walks to take a single. But Amir goes running behind the delivery, and that forces Moor to backtrack"
"good length on leg stump again, and this time Moor plays it into the gap on the leg side. Work for the fielder at deep midwicket"
"back of a length outside off, and Masakadza tries to dab it down to third man. Played too square to point instead"
"almost a yorker on off stump, and Masakadza jams this shot into his toes. The ball trickles away to short midwicket thereafter"
"another full-pitched delivery, and this attempted whip takes the inside edge and goes down to fine leg. They want two runs, and it could be dangerous, but Amir's not backing up at the bowler's end and neither is any other fielder!"
"back of a length outside off, and Masakadza taps it off the back foot to the off side"
"length ball outside off, and he drills a cut to point. But Shadab's acrobatic dive to his left slows the ball down, and definitely saves his team three runs"
"full on middle, and pushed away to the leg side. They want the single, but Hasan runs to his left, picks up the ball, and <b>throws down the stumps!</b> Masakadza is a couple of feet away from the crease"
"good length on middle, and worked off his hips to deep backward square. <B>A deserved fifty for Moor</b>"
"full on leg stump, and that's been uncomfortably played to the leg side. No one there near square leg, and that allows Moor to get back on strike"
"yorker on middle stump, but Moor backs away and thumps it back to Hasan"
