"good length first up on middle, onto the frontfoot and pushes it to mid-off fielder"
"flighted up, onto the frontfoot and pushed to cover fielder"
"good length outside off, drives it on the rise between cover and mid-off for a boundary"
"down the leg, tries to flick it but gets it down to deep fine leg for a leg-bye boundary"
"good length on off, onto the frontfoot and drives it to cover fielder"
"full outside off, drives it on the full to point fielder"
"good length down the leg, nudges it fine and away from wide fine leg fielder for a boundary"
"full on middle, driven straight firmly past the bowler, mid-off gets across and gets a hand to it"
"tossed up, onto the frontfoot to push it to on-side but gets beaten and struck on the pads, loud appeal but not out"
"tossed up, onto the frontfoot and drives it to cover fielder"
"tossed on pads, nudge it to short fine leg"
"tossed up, pushes it to short mid-wicket fielder"
"tossed up, onto the frontfoot and drives it to short mid-wicket again"
"tossed outside off, goes for a drive but gets a thick edge past the slip fielder for a couple"
good length onto the frontfoot and pushes it to short cover fielder
"good length on off, stands tall and punches it to short cover who dives well to his left and stops it"
"fuller outside off, drives it firmly on the rise past the point fielder for a boundary"
"good length on middle, stands tall and drives it straight over the bowler's head for a boundary"
"good length on middle-off, pushes it to mid-on for a quick run"
onto the frontfoot and pushes it to mid-on fielder
"tossed up outside off, tries to drive it but gets a inside edge away to short fine leg"
"tossed up, onto the knee and sweeps it away to square leg for a run"
"flighted up, onto the frontfoot to defend but gets beaten by the slight spin away and knocks the off-stump"
"tossed on leg, on the knees for a sweep and gets some gloves on it down the leg for a couple"
onto the backfoot and pushes it to on-side
"tossed up, onto the backfoot and pushes it to point"
"outside off, lets it through to the keeper"
onto the frontfoot and drives it on the rise to cover fielder
onto the backfoot and nudges it to short mid-wicket
"outside off, driven to cover fielder"
onto the backfoot and cuts it to point fielder
"good length on middle, onto the frontfoot and driven back to the bowler"
"tossed on leg, tries to nudge it but gets it of his pads to the keeper"
"tossed on leg, picks it up of the leg to square leg for a boundary"
onto the backfoot and nudges it to on-side for a run
"tossed up, onto the frontfoot and driven back to the bowler"
"flighted up, onto the backfoot and pushes it to mid-wicket for a couple"
"flighted on off, looks to drive but beaten"
"full outside off, enough room to free his arms and slaps it between point and cover for a boundary"
onto the frontfoot and pushes it to short mid-wicket 
"full on middle, drives it on the rise straight and into the stumps"
"full outside off, drives it to the left of mid-off for a quick run"
"good length on middle, onto the backfoot and pushes it to mid-on for a quick run"
"good length on middle, onto the frontfoot and drives it down to long-on for a run"
"flighted on leg, onto the backfoot and pushes it to square leg for a run"
"tossed up, onto the backfoot and flicks it to on-side for a quick run"
"tossed up, onto the frontfoot and driven down to long-on for a run"
onto the frontfoot and pushes it back to the bowler
"tossed up, onto the backfoot and pushes it to on-side for a run"
"flighted up, onto the frontfoot and does a defense "
"outside off, onto the backfoot and cuts it down to thirdman for a run"
"full outside off, onto the frontfoot and driven to cover fielder"
onto the backfoot and driven down to long-on for a run
onto the frontfoot and blocks it
"outside off, cuts it late wide of thirdman for a quick double"
"good length outside off, onto the backfoot and guides it down to thirdman for a run"
"tossed up, goes for a reverse sweep and connects to perfection past point for a boundary"
"tossed up, onto the frontfoot to drive but gets hit on the pads, half-hearted appeal but not out"
"onto the pads, looks to sweep but gets it of his pads for a quick run"
"tossed on leg, sweeps it firmly but to short fine leg fielder"
tossed on leg again and sweeps it firmly and away from fine leg this time for a boundary a square leg
"tossed up, onto the frontfoot and drives it to mid-off"
"looped on middle, nudges it dangerously away to on-side for a run, would have been plumb infront if had missed it"
"looped on middle, goes for a drive but gets a inside edge away to on-side for a run"
"looped on off, looks to drive but got beaten"
"quicker on off, onto the backfoot to cut but gets beaten again"
"looped on middle, drives it firmly down to long-off for a run"
"looped on middle, onto the frontfoot and in the line of the ball nicely to block it"
"short ball, pulls it away to mid-wicket for a run"
"good length outside off, onto the backfoot and does a defense"
"outside off, onto the backfoot and pushes it past point to sweeper cover for a run"
"short ball, gets under it nicely and pulls it away to mid-wicket for a boundary"
"full outside off, onto the frontfoot and drives it to sweeper cover for a run"
"short ball, onto the backfoot and ducks down with a late upper cut but misses it"
"googly on off, onto the frontfoot and blocks it nicely"
"quicker on middle-leg, onto the backfoot and pushes it back to the bowler"
"looped outside off, onto the frontfoot and pushes it towards point"
"looped up, onto the frontfoot and driven down to long-on for a run"
"googly on middle, looks to defend it but gets struck on the pads, loud appeal but not-out"
"looped on middle, onto the backfoot and tries to nudge it but gets struck on the pads, loud appeal but not-out and the keeper latches onto the ball in the air for a catch but no bat involved says the umpire"
"outside off, onto the backfoot and does a defense"
"short on the pads, nudges it down to fine leg for a run"
"short and down the leg, wide given for it and rightly so"
"on the pads, nudges it fine to fine leg for a run"
"short outside off, onto the backfoot and goes for a upper cut and gets a one bounce boundary away from thirdman "
"good length on middle, onto the frontfoot and drives it between short mid-wicket and mid-on for a run"
"good length on the pads, flicks it just over diving short mid-wicket for a couple"
"tossed up, comes down to him first and blocks it"
onto the frontfoot and pushed down to long-on for a run
onto the frontfoot and does a defense
down the pitch and driven to long-on for a run
onto the frontfoot and does a defense
"flighted outside off, punches it firmly to sweeper cover"
"looped outside off, on the backfoot to cut but misses it"
"looped on leg, sweeps it firmly past short fine leg to square leg for a boundary"
"googly on off, onto the backfoot and lets it spin and pushes it to cover"
"looped outside off, onto the frontfoot to drive but beaten"
"looped on off, onto the backfoot and pushes it to point"
"looped on off, forces him onto the backfoot by the length and beats him trying to block it"
onto the frontfoot and drive it to sweeper for a run
"tossed up, comes down the pitch to hit it out of the park but got beaten and no mistake by the keeper, takes the bails of in a flash"
"tossed up, onto the backfoot to nudge it but gets hit on the pads"
tossed up onto the frontfoot and drives it back to the bowler
"tossed up, pushes it to point of the backfoot"
onto the frontfoot and does a defense
"looped outside off, looks to cut but beaten"
"looped on off, onto the frontfoot and does a defense"
"looped on off, goes for a cut but beaten"
"looped outside off, onto the frontfoot and does a defense"
"looped on middle, pushes it back to the bowler"
"looped outside off, goes for a defense but beaten"
onto the frontfoot and pushes it back to the bowler
comes down the pitch and lofts it over mid-on for a boundary
onto the backfoot and pushes it back to the bowler
onto the frontfoot and does a defense
"tossed outside off, pushes it to point"
onto the backfoot and pushes it away to on-side for a run
"looped outside off, pokes his bat to it but beaten"
"googly outside off, goes for a defense and beaten once more"
"looped on middle-off and it jabs back sharp and gets him on the backfoot, loud appeal and up goes the finger"
"googly on middle, onto the frontfoot and gets a inside edge away to on-side for a run"
"looped on middle, onto the frontfoot and pushes it away to on-side for a run"
"quicker on leg, blocks it nicely as it was bowled at some pace "
"tossed up, onto the frontfoot and nudges it to short mid-wicket"
"tossed up, onto the knee and sweeps it away to square leg for a run"
"tossed outside off, onto the frontfoot and does a defense"
"flighted on middle, onto the frontfoot and blocks it away to on-side"
"tossed on middle, nudges it to on-side"
onto the frontfoot and pushes it away to on-side but short mid-wicket across quickly to field it
"tossed on leg, sweeps it away to square leg for a run, his using the sweep to good effect here"
"short of good length with some spin on it, onto the backfoot and pushes it back to the bowler"
onto the backfoot and nudges it to the bowler
"tossed on leg, nudges it with soft hands to short fine leg for a run"
"tossed up, goes for a sweep again on the full but gets hit on the pads"
"tossed on leg, sweeps it and gets a fine nick through the keeper's leg for a boundary and he reaches his fifty with that"
onto the backfoot and pushes it back to the bowler
"tossed up, onto the knee and swept away to square leg for a run, gilson into the act of sweeping aswell"
"tossed on leg, pokes his bat to it and gets it away to short fine leg"
"tossed up, driven straight back to the bowler"
"tossed on leg, sweeps it away to square leg for a boundary"
"tossed on leg, goes for a reverse sweep but gets beaten and beats the keeper aswell down to the boundary"
"quicker outside off, onto the frontfoot to sweep but misses it"
"tossed up, sweeps it away to square leg for a run"
onto the backfoot and does a defense
"tossed up, pushes it to short mid-wicket"
onto the backfoot and blocks it
"tossed up, onto the backfoot and gets a inside edge onto the pads for nothing"
"tossed up, takes a stride down and manages to get some bat on it to survive a lbw shout"
onto the frontfoot and nudges it to short fine leg for a quick run
"tossed up, drives it to short mid-wicket"
"tossed on middle, goes for a drive towards long-on but short mid-wicket across to field it"
"outside off, onto the backfoot and pushes it to sweeper fielder for a easy run"
"flighted up, driven down to long-on for a run"
"looped up, goes for a drive but it beats him with the spin and just away from the off-stump"
onto the frontfoot and pushes it to short mid-wicket
"looped outside off, onto the frontfoot and blocks it"
"looped up, onto the frontfoot and pushes it to point"
quicker ball but down the leg and wide given
onto the frontfoot an does a defense
"looped on off, lets it spin and pushes it late away to thirdman for a run"
"short ball aimed into him, goes for a pull and gets a top edge away to deep fine leg for a six, fielder got under it and it went just over him"
short ball and it goes way over the batsman head for a wide
"good length on middle, gets his front leg across and slog sweeps it over square leg for a six"
"slow ball on off, onto the frontfoot and driven to cover fielder"
"full on middle, drives it firmly on the rise to the right of mid-off for a quick run"
onto the backfoot and does a defense
"good length on off, pushes it to cover fielder of the backfoot"
"looped on middle, driven down to long-on for a run"
"quicker and flat on off, looks to defend but got beaten as it span away"
"looped on middle, onto the backfoot and does a defense"
"looped on leg, sweeps it firmly away to square leg for a couple"
"looped outside off,onto the frontfoot and does a defense"
"looped outside off, onto the frontfoot for a drive but beaten, loud appeal for caught behind but not out is the call"
"tossed outside off, onto the backfoot and pushes it past point for a run"
"tossed on leg, nudges it away to mid-wicket for a run"
"tossed outside off, cuts it late and past the point fielder for a boundary"
onto the frontfoot and does a defense
"outside off, tries to cut it late and manages on but to the fielder at point"
"tossed on middle, opens the face of the bat and pushes it past point for a run"
"looped outside off, looks to defend but beaten"
"looped on off, onto the frontfoot and defend again and gets beaten"
"looped outside off, takes a stride down to push it to point area for a run"
"looped outside off, pushes it to point"
"looped on middle, pushes it to cover fielder"
"looped on middle, nudges it to short mid-wicket"
"tossed on off, spins back sharp but under control of the stirling as he pushes it down to long-on for a run"
onto the frontfoot and pushes it to short mid-wicket
"tossed on off, reverse sweeps it firmly past point for a boundary"
"tossed up, onto the frontfoot and does a defense"
"tossed on middle, flicks it towards long-on but finds the short mid-wicket fielder instead for a soft dismissal"
"tossed outside off, looks to drive it but doesn't connect well and cut on its way by cover fielder"
down the leg and sweeps it but to the short fine leg fielder
"tossed outside off, goes for a sweep and gets struck on the pads, they get across for a leg-bye"
"tossed up, onto the frontfoot and driven back to the right of the bowler, who picks it up and throws at the stump and hits but he was always home safely"
onto the frontfoot and does a defense
"outside off, pushes it to point fielder"
"tossed up, looks to defend and gets a edge but on the bounce to slip fielder"
onto the frontfoot and driven down to long-on for a run
"tossed on middle, onto the frontfoot and does a defense"
"tossed up, pushes it back to the bowler"
