Commentary,Runs,Wickets
pushed down to <b>long-on to get to fifty</b>. Massive cheers from the crowd. Good knock this,1,0
"slightly short outside off, Khawaja rocks back and cuts down to backward point for three. Not a great ball.",3,0
"87 kph, flat on off, worked to midwicket",0,0
"full and wide, left alone",0,0
"full and wide, angled away, no stroke offered",0,0
left alone again outside off,0,0
"132 kph, not very pacey but accurate. Kept outside off and Khawaja offers no stroke",0,0
"132 kph, still outside off on a good length, another leave",0,0
"good over. Six balls outside off, six leaves. Maiden. Discipline",0,0
"well bowled. Flat on off, Renshaw stays in his crease to defend",0,0
gets forward a touch to work to midwicket,0,0
"lovely stop. Flight outside off, Renshaw drills a drive back to the bowler who sticks out a hand to save one",0,0
clipped with the spin to midwicket,0,0
"quicker through the air, flat outside off. Shovelled into the leg side with quick hands",0,0
Renshaw gets forward and blocks one towards extra cover for one. Good over from Yasir,1,0
"on the pads this time, 132 kph, nudged down to fine leg",1,0
"135 kph, pushed out into the off side",0,0
"hung in a channel outside off, Khawaja is happy to leave",0,0
"135 kph, around off, defended",0,0
"<strong>dropped</strong>. Flew to gully but at that position, they are going to come quickly. Short and wide outside off, Khawaja goes back and laces his cut to gully. Wanted that much squarer. Take-able chances at this level. Azam gets his right hand to the ball but the ball bursts through",1,0
left alone outside off. Good stuff from Imran Khan,0,0
driven to cover who dives to his left,0,0
"some flight, loop on off and middle, blocked",0,0
worked into the leg side,0,0
"quick through the air on middle, Khawaja defends",0,0
"87 kph, flat on off, Khawaja goes back to defend",0,0
"lots of flight outside off, driven to cover",0,0
"overpitched outside off, driven down to Misbah at mid-off who stops the ball with a laboured dive to his left",0,0
"131 kph, close to off, a solid block",0,0
"lovely bowling. Pushes this wide outside off, Renshaw gets forward but the ball leaves him outside his edge",0,0
"131 kph, lovely. <strong>Beaten on the outside edge again</strong>. Good length outside off, the ball shapes away",0,0
"left alone outside off, 135 kph",0,0
flicked through midwicket. Slightly too full this time and Renshaw helps himself to three with a nicely-timed whip off his pads,3,0
"quick and flat through the air, nudged to square leg",1,0
Khawaja gets forward to defend towards point,0,0
"that's a poor delivery. A low full toss outside off, Khawaja lays into a drive through extra cover for three.",3,0
Renshaw gets forward to defend back,0,0
whipped away for a couple more through square leg. Easy,2,0
"more runs. A full toss on off, a leading-edge through cover gets Renshaw a couple",2,0
"on a length, in a channel just outside off. Left alone",0,0
"rather full on off, 133 kph, driven to mid-off",0,0
"left alone outside off, nice bowling",0,0
Khawaja gets forward and lets that one through to the keeper,0,0
another leave outside off,0,0
"full and wide, left alone, maiden. Good discipline this from Sohail",0,0
"starts with one down leg, nudged to fine leg",1,0
"85 kph, driven back to the bowler",0,0
"flat on off, 84 kph, clipped to square leg",0,0
"too straight from Azhar, worked to midwicket",0,0
"84 kph, flat down leg, clipped down to deep square leg. Another run",1,0
driven to long-on. Easy run,1,0
"good length around off, defended back",0,0
left alone outside off. Imran has not conceded too many this spell. Fantastic discipline,0,0
"through gully for a couple. Full and wide, Renshaw gets two with a dab",2,0
"shot! Full and wide from Imran, Renshaw gets forward and caresses his cover drive languidly through cover. Sensational timing",4,0
"tight around off, defended",0,0
another run towards mid-off. Good stuff from Renshaw,1,0
"full and straight, nice pace. Worked to square leg",0,0
jammed to long-on for a run,1,0
"poor ball. Short and wide outside off, slashed down to deep backward point for a brace",2,0
"on the pads, a clip down to fine leg for one",1,0
"misfield. Overpitched on off, crisply driven to cover who lets the ball go through for a couple. Sharjeel the guilty man",2,0
defended back,0,0
"starts with a no-ball. Back of a length on off, Khawaja gets on to of the bounce, plays the ball down towards square leg for one",2,0
"good length, wide outside off, left alone",0,0
another leave outside off,0,0
"full delivery outside off, Renshaw defends towards mid-off",0,0
"137 kph, close to off, pushed towards mid-off",0,0
left alone outside off,0,0
"136 kph, good length and wide outside off, left alone",0,0
"nicely bowled. Flight on middle and leg, blocked",0,0
driven to long-on for one,1,0
defended back up the pitch,0,0
"slow through the air, Renshaw was looking for a big sweep, bailed out late to defend",0,0
"on the hips, clipped to square leg",0,0
"the wrong un outside off, dabbed down towards third man for a couple more",2,0
"got 'im. A loose shot from Khawaja. Full and wide delivery outside off, cross-seam from Wahab. Khawaja is rooted in his crease but goes through with his booming drive. The ball takes the inside edge and is comfortably taken. Was not in control of the stroke because his feet was nowhere, his balance was off",0,1
"142 kph, overpitched on off, driven to mid-on",0,0
"good length outside off, 140 kph. The ball seams away, Smith leaves",0,0
"on the hips, Smith gets across and works one down to square leg",1,0
"full delivery outside off, 142 kph. Renshaw gets forward and defends with his head over the ball",0,0
"135 kph, Renshaw sways out of the line",0,0
blocked to mid-on,0,0
"short and wide outside off, carved to deep point for a couple",2,0
"on the pads this time, clipped away towards midwicket",0,0
,1,0
"tripe. Flat on the pads, worked through square leg for one",1,0
left alone outside off,0,0
"full and straight, into one of Renshaw's stronger areas and whipped away in the gap at midwicket for four",4,0
"135 kph, good length outside off, no stroke offered",0,0
"full and straight at 140 kph, driven up towards mid-on",0,0
"full and wide outside off, left alone.",0,0
"good length outside off, slashed to point",0,0
"left alone outside off, good leave",0,0
"a rank long-hop. Rubbish. Flat outside off, sits up for Smith to pummel through midwicket",4,0
"short and wide outside off, scythed to point",0,0
"nice pace, some loop outside off, Smith gets forward to defend",0,0
defended back,0,0
"86 kph, more flight and loop outside off, Smith gets forward and pushes to cover",0,0
"quicker through the air on middle and leg, worked to midwicket",0,0
"good length around off, worked away to square leg",0,0
"good length wide outside off, Renshaw isn't lulled into a stroke. Left",0,0
"back of a length outside off, Renshaw gets on top of the bounce to push towards point",0,0
"back of a length outside off, another guided steer to point",0,0
"146 kph, full and straight, defended",0,0
"good length outside off, left alone. Good stuff from Wahab, equally good from Renshaw",0,0
"89 kph, flat on middle, pushed to mid-on",0,0
"86 kph, quick and flat outside off, prodded away towards cover",0,0
"flat and wide from Yasir, cut out to point",0,0
hammered back to Yasir who gets his hands down. <strong>Writhes in pain afterward</strong>. Hit the thumb,0,0
"flat outside off, 89 kph, another defensive stroke into the off side",0,0
supremely driven but straight to cover. Lots of flight outside off. Smith languidly executes his drive,0,0
"lots of flight outside off, 81 kph. Very wide. Left",0,0
"quick through the air on off, pushed to mid-on",0,0
"punched to mid-on off the back foot. 'Keep coming lads,' yells Sarfraz",0,0
Renshaw gets down and executes a fine paddle sweep to fine leg for three. Well played,3,0
driven to short midwicket,0,0
defended into the leg side. Tidy from Shafiq,0,0
Renshaw shuffles down and shovels a drive to short midwicket,0,0
"on the pads, nudged to deep midwicket",1,0
"on the pads, defended into the leg side",0,0
blocked to cover,0,0
"quick through the air on off, pushed to midwicket",0,0
"too much flight, overpitched. Smith gets forward and leans on his drive, gets that wide of cover and that will be four to end the session",4,0
"good length on off to start, worked away to square leg",0,0
"short and wide outside off, a poor ball. Sits up for Renshaw to carve through backward point.",4,0
"good length on off, defended to mid-on",0,0
"full and straight, looking for those pads. Renshaw plays across the line almost. A thick inside edge into the pad and then to fine leg",1,0
"full and wide outside off, left alone",0,0
"141 kph, full around off, defended towards mid-off",0,0
"flat on off, defended",0,0
"tossed up outside off, driven to mid-off for a quick single",1,0
"sees Smith coming and fires one wide outside off, defended",0,0
blocked towards cover,0,0
"hammered for four. Tossed up outside off, Smith gives himself room and drills a drive past the bowler. Sublime timing",4,0
"on the pads, nudged down to fine leg for three more. Another bad ball",3,0
"full and wide from Amir, 142 kph. Smith drives through extra cover for a couple. Played that nicely",2,0
"slower ball, 124 kph down leg. Some extra bounce raps Smith on the glove. They get one to square leg",1,0
"full on off, some inward tail. Driven to mid-on",0,0
"full on off, nicely on-driven to mid-on for a run. A misfield too",1,0
"139 kph, back of a length on off, Smith gets on top of the bounce to defend",0,0
"on the pads, flicked away merrily through square leg for a couple",2,0
