Lemma,Frequency
real,668
fifthstump,668
labuschagne,668
reaching,667
hundred,667
lost,666
dart,665
burst,664
kusal,663
bouncing,659
fizz,657
flatbats,656
decides,655
imad,653
ran,652
feel,652
haris,650
flying,648
confident,644
villiers,641
caress,640
using,640
expected,637
afridi,636
ba,636
carefully,634
pope,632
mominul,628
zipping,626
leaving,625
flays,625
hazlewood,624
umesh,624
action,621
swish,620
fulllength,620
toeends,619
uthappa,619
halfway,619
involved,618
onehanded,617
adjust,616
tumbling,616
opened,616
bother,616
allowing,612
misfields,610
signal,610
fiftyb,610
shortarm,609
anything,608
faster,608
row,608
fenced,607
rush,606
rap,604
bbeatenb,604
calmly,602
nibble,601
karthik,601
lifter,601
closed,600
inner,600
narine,600
williams,598
slid,598
insideedges,594
bishoo,592
againb,591
hurriedly,590
partner,589
raval,589
lose,589
opportunity,588
stirling,587
controlled,586
parthiv,584
odi,583
spinner,582
fineleg,582
ricochet,581
flew,577
plumb,576
found,575
drawn,573
bumper,572
men,572
inswing,571
insideedge,570
slam,570
tumble,569
score,568
slogsweep,568
tip,567
parry,567
risky,566
thud,565
since,564
sound,564
cop,563
pointb,563
hardik,562
abbas,562
possibly,562
fair,560
arch,559
dimuth,559
mccullum,558
gave,557
inwards,556
pair,555
allow,554
hole,553
uppish,552
sensational,551
confidently,550
hung,549
wicketkeeper,548
wagner,548
agar,548
hanging,547
next,546
sweet,546
lap,544
tramline,543
ballb,543
backed,542
malinga,541
dance,541
rolling,541
gambhir,541
volley,540
skiddy,539
herath,539
crashed,539
sabbir,539
banother,538
saved,537
richardson,537
lbwb,537
surprise,537
bbeats,536
series,535
softly,535
leaping,535
deceived,534
yuvraj,534
jennings,534
used,532
powerful,530
dilruwan,530
slicing,529
coverb,528
survives,528
renshaw,527
throat,526
yjb,526
many,526
dear,525
knocked,524
checked,522
stretching,522
halftracker,521
thisara,521
shovelled,521
jordan,520
everything,520
higher,520
dragging,519
tahir,519
runout,517
chasing,517
bbig,515
topedge,515
neesham,514
overstepped,514
spun,513
team,512
expecting,512
ignored,512
hare,509
definitely,508
stance,507
stunning,506
matter,506
dismissal,506
lifting,505
shahzad,505
backofalength,504
bancroft,504
sign,504
smart,501
krunal,501
sky,501
clearly,497
floor,497
muscled,496
agarwal,495
binside,493
strongcaught,493
whack,492
hoick,492
bjust,492
azam,491
outb,490
midwicketstrong,489
itb,489
via,489
although,489
evades,488
variation,488
cramping,488
dangled,487
zaman,487
elevation,487
underedge,485
decide,484
samson,484
misbah,483
risk,483
venture,482
breakthrough,481
joseph,480
onb,480
foakes,480
protection,479
rolled,478
drawing,478
slowly,477
shehzad,477
morning,477
bedged,476
ervine,476
bhuvneshwar,476
base,475
stumping,474
world,473
wear,473
old,472
obrien,471
partnership,471
mistake,470
wahab,470
wind,469
offstrong,469
stayed,469
straying,468
hed,468
mighty,467
carve,467
halfcentury,466
masakadza,466
seeing,466
landing,466
mehidy,465
toward,464
ever,464
fantastic,464
slows,463
christian,462
dk,462
response,461
smile,460
deflection,459
axar,459
whizz,459
must,459
masood,458
latch,458
backwards,457
inward,456
zampa,455
wilson,454
carried,454
be,452
club,452
topedges,451
sa,449
drifted,448
flap,447
nair,447
swoop,446
handle,446
van,444
fractionally,444
rare,442
morkel,442
pierce,442
heaved,441
campbell,441
directed,441
pointstrong,441
cracking,440
initially,440
bbut,440
cleared,439
whether,439
trajectory,438
lay,438
spear,438
outer,437
entirely,437
however,437
stumpb,436
least,436
sarkar,436
completes,435
onstrong,433
smacked,432
ducking,431
clipping,427
da,427
legstrong,427
cream,427
crawley,427
style,426
pooran,426
tentatively,426
rest,425
tucking,424
ducked,423
century,423
tentative,423
clubbed,422
ferguson,422
trick,421
midoffs,421
piece,421
proper,420
comeback,420
neat,420
fend,420
skewed,419
outswing,419
strongbeatenstrong,419
thickish,418
shaw,418
double,418
mow,418
thirimanne,417
surprised,417
finding,415
rooted,415
celebration,414
curving,414
tangle,413
danger,413
falling,412
option,412
wallop,412
der,412
thinking,412
pass,411
gathered,411
wobble,411
luck,408
gunathilaka,408
bottomhanded,407
sort,406
bdropped,405
sohail,405
faheem,405
accurate,404
chooses,403
vihari,403
flicking,403
dy,402
knew,402
jumping,401
upstairs,401
offb,400
swerve,400
ignores,399
henriques,399
green,398
present,398
mess,397
knuckle,397
bthe,396
reversesweep,396
form,396
soon,396
every,396
strongedged,396
blackwood,396
aerially,395
glorious,395
halfforward,395
expansive,394
sodhi,394
dangerous,394
steyn,394
gill,393
fling,393
reviewed,393
deal,392
hendricks,392
boutside,392
landed,392
stepped,391
shaped,391
dussen,391
premeditated,391
threw,390
qdk,389
beside,389
breviewb,389
believe,389
appealb,389
strongthats,388
dhananjaya,388
fourb,388
smothered,388
soumya,387
difficult,387
straighten,385
outstretched,384
shotb,384
final,384
bhuvi,384
sitting,383
bite,383
shin,382
btaken,382
rapped,381
properly,381
nailed,381
seen,380
fielded,379
carrom,378
kind,378
willey,378
midons,378
boh,378
metre,377
responds,377
threatening,377
onebounce,376
asking,376
stoneman,376
balloon,376
ready,375
stepping,374
ahead,374
punished,373
doubt,373
momentum,373
rana,373
sarfaraz,372
speed,372
moor,372
followed,371
le,371
longonb,370
noise,370
hiphigh,370
release,369
zimbabwe,369
taijul,369
together,367
plan,366
curve,366
extremely,365
hustle,365
pumped,364
boundaryb,364
lead,364
slogged,363
execution,363
bfifty,362
stronghe,362
perfection,362
player,362
gift,361
abid,361
againstrong,361
intended,360
gorgeous,360
flowing,360
bbeaten,359
balbirnie,359
earlier,358
bpast,357
stopping,357
charging,357
catching,357
flayed,357
question,356
cause,355
nibbling,355
theyve,355
strongand,354
afghanistan,353
zazai,353
clever,353
ngidi,353
legbye,352
dived,351
jagging,351
yusuf,351
dunk,351
harris,351
clatter,350
shuffling,350
shake,349
fingertip,349
curling,349
racing,349
yorkerlength,348
faulkner,348
ireland,348
kamran,348
waited,348
closely,348
onfield,348
stronga,348
rahim,347
job,347
anywhere,347
welcome,346
offering,346
nortje,346
wanders,346
strongbeaten,346
pay,345
neither,344
tye,343
tv,343
manufacture,343
ondrive,343
fernando,342
deadbats,342
struggling,341
fawad,341
phehlukwayo,340
hardly,340
bhes,340
flay,340
porterfield,340
night,339
belted,338
expects,338
hack,338
quietly,338
sightscreen,338
sight,337
theyll,336
bobble,336
strongdropped,336
lace,336
paddled,336
problem,336
bappeal,335
shaheen,335
delivered,335
brought,334
couldve,334
damage,334
sat,334
pinged,333
starting,333
pressing,333
watched,332
inswinging,332
flashed,332
stronganother,332
nipped,331
depth,331
who,331
ingram,331
scythe,329
life,329
slipped,328
plunkett,328
york,328
mushfiq,327
wayward,327
sl,327
hurt,327
hawkeye,327
surely,327
haul,326
outstanding,326
asif,325
begin,325
overb,325
booming,325
applause,325
boy,325
